"Tipo_Maturita, Voto_Diploma, CFU_Primo"
"[3, 100, 1048, 0]"
"[3, 82, 1048, 1]"
"[3, 98, 1048, 0]"
"[3, 100, 1060, 0]"
"[3, 97, 1015, 3]"
"[3, 100, 1060, 0]"
"[3, 83, 1048, 2]"
"[3, 98, 1036, 3]"
"[3, 98, 1048, 3]"
"[3, 91, 1027, 2]"
"[2, 83, 1039, 3]"
"[1, 95, 1054, 0]"
"[3, 94, 1006, 0]"
"[3, 100, 1060, 0]"
"[3, 100, 1048, 3]"
"[3, 98, 1054, 0]"
"[3, 87, 1039, 2]"
"[3, 80, 1006, 0]"
"[2, 77, 1027, 3]"
"[1, 86, 1015, 3]"
"[3, 80, 1048, 1]"
"[3, 75, 1039, 3]"
"[2, 100, 1048, 0]"
"[2, 72, 1027, 3]"
"[3, 73, 1015, 2]"
"[3, 78, 1048, 1]"
"[3, 85, 1027, 3]"
"[3, 82, 1015, 2]"
"[3, 92, 1048, 1]"
"[1, 98, 1054, 0]"
"[3, 100, 1060, 0]"
"[3, 91, 1048, 3]"
"[3, 90, 1048, 1]"
"[3, 60, 1039, 3]"
"[2, 86, 1039, 1]"
"[3, 82, 1054, 0]"
"[3, 86, 1036, 0]"
"[3, 100, 1054, 1]"
"[3, 100, 1048, 3]"
"[3, 82, 1015, 1]"
"[2, 86, 1060, 0]"
"[3, 84, 1033, 0]"
"[3, 100, 1054, 1]"
"[3, 97, 1054, 0]"
"[3, 100, 1048, 0]"
"[3, 73, 1036, 1]"
"[1, 83, 1027, 3]"
"[3, 89, 1006, 0]"
"[3, 86, 1048, 2]"
"[3, 100, 1054, 0]"
"[2, 80, 1036, 2]"
"[3, 78, 1054, 1]"
"[3, 87, 1048, 2]"
"[3, 95, 1048, 0]"
"[3, 95, 1048, 1]"
"[2, 91, 1024, 1]"
"[3, 74, 1015, 3]"
"[3, 98, 1048, 2]"
"[3, 73, 1015, 3]"
"[1, 80, 1027, 2]"
"[3, 78, 1039, 3]"
"[3, 82, 1015, 3]"
"[3, 87, 1027, 3]"
"[3, 100, 1015, 0]"
"[3, 76, 1039, 3]"
"[3, 91, 1054, 2]"
"[3, 97, 1048, 1]"
"[3, 80, 1036, 3]"
"[3, 80, 1015, 0]"
"[2, 87, 1048, 0]"
"[3, 100, 1015, 0]"
"[3, 90, 1048, 1]"
"[2, 90, 1048, 1]"
"[3, 100, 1054, 0]"
"[2, 100, 1048, 0]"
"[3, 78, 1024, 3]"
"[3, 85, 1054, 0]"
"[3, 67, 1048, 2]"
"[3, 70, 1027, 3]"
"[2, 92, 1027, 3]"
"[2, 66, 1018, 1]"
"[3, 94, 1060, 0]"
"[2, 91, 1024, 2]"
"[3, 86, 1054, 1]"
"[2, 100, 1060, 0]"
"[3, 81, 1054, 0]"
"[1, 85, 1042, 2]"
"[3, 100, 1060, 0]"
"[3, 100, 1054, 0]"
"[3, 88, 1048, 2]"
"[3, 80, 1048, 2]"
"[2, 89, 1054, 0]"
"[3, 100, 1036, 2]"
"[3, 100, 1054, 1]"
"[2, 100, 1048, 1]"
"[3, 87, 1048, 1]"
"[2, 70, 1030, 2]"
"[2, 62, 1021, 2]"
"[2, 100, 1048, 0]"
"[2, 90, 1060, 0]"
"[3, 80, 1048, 2]"
"[3, 84, 1042, 1]"
"[3, 100, 1060, 0]"
"[3, 100, 1048, 1]"
"[3, 83, 1036, 1]"
"[1, 86, 1036, 2]"
"[3, 96, 1054, 0]"
"[2, 95, 1042, 2]"
"[3, 81, 1048, 2]"
"[3, 81, 1054, 2]"
"[3, 72, 1048, 1]"
"[2, 100, 1009, 0]"
"[2, 83, 1048, 2]"
"[3, 100, 1060, 0]"
"[3, 86, 1030, 2]"
"[3, 95, 1042, 2]"
"[3, 78, 1048, 1]"
"[3, 74, 1054, 2]"
"[2, 80, 1036, 2]"
"[3, 95, 1009, 0]"
"[1, 99, 1054, 1]"
"[3, 84, 1054, 0]"
"[3, 100, 1054, 1]"
"[1, 76, 1054, 1]"
"[3, 100, 1060, 0]"
"[1, 80, 1039, 2]"
"[3, 78, 1048, 2]"
"[3, 85, 1054, 1]"
"[3, 87, 1048, 1]"
"[3, 97, 1054, 0]"
"[1, 99, 1048, 1]"
"[3, 70, 1054, 1]"
"[3, 67, 1009, 2]"
"[2, 90, 1054, 2]"
"[3, 81, 1018, 2]"
"[3, 100, 1048, 1]"
"[3, 88, 1036, 2]"
"[3, 81, 1048, 2]"
"[3, 66, 1042, 2]"
"[3, 74, 1054, 1]"
"[3, 88, 1054, 2]"
"[3, 98, 1036, 2]"
"[3, 68, 1042, 1]"
"[3, 96, 1054, 0]"
"[1, 100, 1048, 1]"
"[3, 93, 1048, 2]"
"[2, 100, 1048, 0]"
"[2, 100, 1048, 0]"
"[3, 94, 1030, 3]"
"[3, 88, 1054, 1]"
"[3, 100, 1042, 2]"
"[3, 100, 1048, 0]"
"[2, 92, 1048, 1]"
"[3, 76, 1021, 1]"
"[3, 80, 1027, 1]"
"[3, 86, 1042, 2]"
"[3, 75, 1021, 2]"
"[3, 74, 1006, 0]"
"[1, 88, 1009, 2]"
"[2, 72, 1048, 2]"
"[3, 92, 1048, 1]"
"[3, 95, 1048, 1]"
"[2, 87, 1066, 2]"
"[3, 98, 1078, 0]"
"[3, 85, 1054, 0]"
"[3, 68, 1033, 1]"
"[3, 88, 1060, 0]"
"[3, 100, 1054, 0]"
"[3, 100, 1054, 0]"
"[3, 98, 1054, 1]"
"[3, 72, 1048, 1]"
"[3, 70, 1054, 0]"
"[2, 60, 1006, 1]"
"[3, 90, 1027, 0]"
"[3, 72, 1054, 0]"
"[1, 73, 1054, 1]"
"[2, 84, 1006, 0]"
"[2, 83, 1054, 1]"
"[3, 72, 1054, 1]"
"[3, 75, 1042, 1]"
"[3, 100, 1054, 1]"
"[3, 97, 1036, 1]"
"[3, 71, 1054, 1]"
"[1, 84, 1054, 0]"
"[2, 100, 1054, 0]"
"[3, 100, 1060, 0]"
"[3, 85, 1042, 1]"
"[2, 95, 1036, 0]"
"[3, 88, 1042, 0]"
"[3, 100, 1060, 0]"
"[3, 100, 1060, 0]"
"[3, 99, 1054, 0]"
"[3, 94, 1054, 0]"
"[3, 81, 1054, 1]"
"[3, 85, 1054, 1]"
"[3, 82, 1054, 0]"
"[3, 87, 1054, 1]"
"[3, 82, 1054, 0]"
"[3, 80, 1012, 0]"
"[2, 100, 1054, 1]"
"[2, 77, 1036, 1]"
"[3, 87, 1054, 1]"
"[3, 96, 1054, 1]"
"[3, 100, 1060, 0]"
"[3, 78, 1054, 1]"
"[2, 94, 1042, 1]"
"[3, 100, 1054, 0]"
"[3, 80, 1012, 1]"
"[3, 100, 1054, 0]"
"[2, 91, 1012, 1]"
"[3, 90, 1054, 0]"
"[3, 98, 1048, 1]"
"[3, 100, 1054, 0]"
"[3, 85, 1054, 1]"
"[2, 90, 1042, 1]"
"[3, 90, 1054, 1]"
"[3, 80, 1054, 0]"
"[3, 78, 1054, 0]"
"[3, 92, 1054, 1]"
"[3, 98, 1054, 0]"
"[2, 100, 1060, 0]"
"[3, 89, 1033, 1]"
"[3, 86, 1015, 1]"
"[3, 93, 1054, 1]"
"[3, 80, 1009, 0]"
"[1, 93, 1006, 1]"
"[1, 86, 1054, 1]"
"[2, 81, 1033, 1]"
"[3, 91, 1036, 1]"
"[3, 91, 1048, 1]"
"[3, 73, 1036, 1]"
"[3, 97, 1054, 1]"
"[3, 94, 1060, 0]"
"[2, 71, 1006, 0]"
"[2, 86, 1042, 1]"
"[1, 95, 1033, 1]"
"[3, 70, 1054, 0]"
"[3, 66, 1042, 1]"
"[2, 95, 1024, 1]"
"[3, 80, 1036, 1]"
"[1, 90, 1054, 0]"
"[3, 78, 1033, 1]"
"[3, 82, 1054, 0]"
"[3, 96, 1060, 0]"
"[1, 100, 1054, 1]"
"[3, 80, 1030, 0]"
"[1, 82, 1054, 0]"
"[3, 93, 1054, 1]"
"[1, 80, 1036, 0]"
"[3, 86, 1054, 0]"
"[3, 90, 1015, 0]"
"[3, 93, 1009, 0]"
"[3, 100, 1060, 0]"
"[2, 95, 1048, 0]"
"[3, 100, 1048, 0]"
"[2, 86, 1009, 0]"
"[3, 76, 1042, 1]"
"[1, 92, 1048, 1]"
"[3, 83, 1054, 1]"
"[3, 85, 1015, 0]"
"[3, 88, 1042, 1]"
"[2, 90, 1060, 0]"
"[3, 73, 1054, 1]"
"[2, 85, 1048, 0]"
"[3, 82, 1054, 0]"
"[2, 92, 1075, 0]"
"[3, 78, 1033, 0]"
"[3, 87, 1033, 0]"
"[3, 97, 1048, 0]"
"[3, 78, 1054, 0]"
"[3, 100, 1060, 0]"
"[3, 71, 1042, 0]"
"[3, 100, 1060, 0]"
"[2, 96, 1060, 0]"
"[2, 74, 1060, 0]"
"[2, 100, 1060, 0]"
"[2, 99, 1018, 0]"
"[3, 100, 1060, 0]"
"[3, 92, 1060, 0]"
"[3, 95, 1060, 0]"
"[3, 96, 1060, 0]"
"[3, 100, 1060, 0]"
"[3, 96, 1060, 0]"
"[2, 80, 1042, 0]"
"[3, 100, 1054, 0]"
"[3, 91, 1054, 0]"
"[3, 72, 1042, 0]"
"[2, 77, 1030, 0]"
"[3, 97, 1054, 0]"
"[2, 100, 1060, 0]"
"[3, 100, 1060, 0]"
"[3, 93, 1054, 0]"
"[1, 88, 1060, 0]"
"[3, 92, 1054, 0]"
"[3, 100, 1054, 0]"
"[3, 83, 1054, 0]"
"[2, 100, 1054, 0]"
"[3, 87, 1054, 0]"
"[3, 88, 1060, 0]"
"[3, 75, 1042, 0]"
"[2, 96, 1060, 0]"
"[3, 89, 1054, 0]"
"[3, 60, 1006, 0]"
"[3, 86, 1033, 0]"
"[3, 82, 1054, 0]"
"[3, 78, 1042, 0]"
"[3, 86, 1054, 0]"
"[1, 90, 1054, 0]"
"[3, 100, 1060, 0]"
"[3, 100, 1060, 0]"
"[3, 97, 1054, 0]"
"[3, 89, 1060, 0]"
"[2, 80, 1015, 0]"
"[3, 82, 1042, 0]"
"[1, 83, 1028, 0]"
"[2, 100, 1060, 0]"
"[3, 94, 1060, 0]"
"[3, 77, 1048, 0]"
"[3, 94, 1054, 0]"
"[3, 95, 1060, 0]"
"[3, 100, 1060, 0]"
"[3, 88, 1060, 0]"
"[3, 100, 1060, 0]"
"[3, 71, 1054, 0]"
"[3, 91, 1054, 0]"
"[3, 85, 1042, 0]"
"[3, 93, 1054, 0]"
"[3, 96, 1060, 0]"
"[3, 88, 1054, 0]"
"[3, 94, 1036, 0]"
"[3, 93, 1042, 0]"
"[2, 84, 1042, 0]"
"[3, 86, 1015, 0]"
"[3, 80, 1060, 0]"
"[3, 100, 1060, 0]"
"[2, 89, 1060, 0]"
"[3, 86, 1024, 0]"
"[3, 100, 1054, 0]"
"[3, 70, 1009, 0]"
"[3, 72, 1018, 0]"
"[3, 77, 1054, 0]"
"[2, 82, 1048, 0]"
"[3, 95, 1060, 0]"
"[3, 98, 1033, 0]"
"[1, 81, 1024, 0]"
"[2, 95, 1042, 0]"
"[1, 92, 1033, 0]"
"[3, 83, 1048, 0]"
"[3, 87, 1042, 0]"
"[2, 95, 1045, 0]"
"[3, 74, 1042, 0]"
"[2, 100, 1039, 0]"
"[2, 100, 1042, 0]"
"[3, 89, 1033, 0]"
"[2, 67, 1027, 0]"
"[2, 100, 1018, 0]"
"[3, 91, 1048, 0]"
"[3, 100, 1060, 0]"
"[2, 81, 1033, 0]"
"[2, 93, 1048, 0]"
"[2, 100, 1060, 0]"
"[1, 100, 1060, 0]"
"[3, 50, 1135, 2]"
"[3, 88, 1036, 1]"
"[3, 86, 1042, 1]"
"[1, 100, 1060, 0]"
"[3, 100, 1060, 0]"
"[3, 87, 1051, 0]"
"[3, 84, 1060, 0]"
"[3, 86, 1060, 0]"
"[3, 100, 1060, 0]"
"[3, 87, 1060, 0]"
"[3, 90, 1060, 0]"
"[3, 100, 1060, 0]"
"[3, 100, 1060, 0]"
"[3, 95, 1042, 0]"
"[2, 90, 1018, 0]"
"[3, 100, 1060, 0]"
"[2, 64, 1030, 0]"
"[3, 82, 1060, 0]"
"[3, 90, 1060, 0]"
"[3, 90, 1060, 0]"
"[2, 65, 1060, 0]"
"[2, 89, 1048, 0]"
"[3, 100, 1060, 0]"
"[2, 100, 1060, 0]"
"[3, 100, 1060, 0]"
"[3, 87, 1042, 0]"
"[3, 98, 1054, 0]"
"[3, 93, 1060, 0]"
"[1, 71, 1027, 0]"
"[3, 100, 1060, 0]"
"[3, 72, 1039, 0]"
"[3, 77, 1048, 0]"
"[3, 100, 1060, 0]"
"[3, 100, 1060, 0]"
"[1, 81, 1048, 0]"
"[3, 100, 1060, 0]"
"[3, 100, 1109, 0]"
"[3, 100, 1060, 0]"
"[3, 100, 1060, 0]"
"[3, 95, 1060, 0]"
"[2, 88, 1060, 0]"
"[3, 76, 1018, 0]"
"[3, 62, 1033, 0]"
"[3, 98, 1048, 0]"
"[3, 100, 1063, 0]"
"[3, 69, 1039, 0]"
"[3, 83, 1060, 0]"
"[2, 78, 1039, 0]"
"[3, 96, 1060, 0]"
"[3, 100, 1060, 0]"
"[3, 85, 1048, 0]"
"[3, 100, 1060, 0]"
"[3, 87, 1048, 0]"
"[3, 100, 1060, 0]"
"[3, 100, 1060, 0]"
"[3, 75, 1060, 0]"
"[3, 100, 1060, 0]"
"[3, 95, 1060, 0]"
"[3, 96, 1039, 0]"
"[2, 86, 1060, 0]"
"[3, 96, 1060, 0]"
"[3, 98, 1060, 0]"
"[1, 100, 1060, 0]"
"[2, 100, 1060, 0]"
"[3, 85, 1060, 0]"
"[3, 86, 1039, 0]"
"[3, 100, 1060, 0]"
"[2, 80, 1048, 0]"
"[3, 98, 1048, 0]"
"[3, 80, 1060, 0]"
"[3, 82, 1048, 0]"
"[3, 84, 1006, 0]"
"[2, 85, 1048, 0]"
"[2, 100, 1060, 0]"
"[3, 92, 1048, 0]"
"[3, 88, 1006, 0]"
"[3, 95, 1048, 0]"
"[3, 97, 1060, 0]"
"[3, 100, 1060, 0]"
"[2, 100, 1060, 0]"
"[2, 88, 1060, 0]"
"[3, 96, 1006, 0]"
"[3, 70, 1054, 0]"
"[3, 95, 1060, 0]"
"[3, 77, 1042, 0]"
"[3, 83, 1060, 0]"
"[3, 83, 1060, 0]"
"[2, 100, 1039, 0]"
"[3, 88, 1060, 0]"
"[3, 96, 1054, 0]"
"[1, 68, 1048, 0]"
"[2, 86, 1033, 0]"
"[3, 100, 1054, 0]"
"[3, 93, 1048, 0]"
"[3, 100, 1060, 0]"
"[3, 88, 1020, 0]"
"[3, 73, 1024, 0]"
"[3, 100, 1039, 0]"
"[2, 100, 1021, 0]"
"[2, 100, 1048, 0]"
"[3, 83, 1036, 0]"
"[3, 100, 1048, 0]"
"[2, 82, 1012, 0]"
"[3, 100, 1027, 0]"
"[3, 71, 1012, 0]"
"[3, 82, 1024, 0]"
"[3, 100, 1048, 0]"
"[3, 100, 1048, 0]"
"[2, 70, 1018, 0]"
"[3, 85, 1033, 0]"
"[3, 100, 1048, 0]"
"[3, 100, 1039, 0]"
"[3, 100, 1048, 0]"
"[3, 100, 1042, 0]"
"[3, 100, 1048, 0]"
"[3, 80, 1033, 0]"
"[3, 78, 1024, 0]"
"[3, 82, 1039, 0]"
"[2, 84, 1024, 0]"
"[3, 100, 1042, 0]"
"[2, 100, 1042, 0]"
"[3, 98, 1042, 0]"
"[3, 80, 1042, 0]"
"[3, 94, 1039, 0]"
"[3, 73, 1018, 0]"
"[3, 100, 1042, 0]"
"[3, 77, 1027, 0]"
"[3, 100, 1036, 0]"
"[1, 90, 1027, 0]"
"[3, 87, 1039, 0]"
"[3, 98, 1039, 0]"
"[3, 98, 1042, 0]"
"[3, 86, 1048, 0]"
"[3, 95, 1033, 0]"
"[3, 92, 1048, 0]"
"[2, 94, 1027, 0]"
"[3, 100, 1027, 0]"
"[1, 87, 1033, 0]"
"[3, 86, 1027, 0]"
"[3, 100, 1048, 0]"
"[2, 64, 1042, 0]"
"[2, 96, 1033, 0]"
"[3, 94, 1042, 0]"
"[3, 97, 1033, 0]"
"[2, 94, 1033, 0]"
"[3, 95, 1033, 0]"
"[2, 91, 1024, 0]"
"[1, 88, 1024, 0]"
"[3, 85, 1042, 0]"
"[3, 81, 1018, 0]"
"[3, 100, 1042, 0]"
"[3, 100, 1042, 0]"
"[2, 87, 1036, 0]"
"[3, 96, 1042, 0]"
"[3, 90, 1027, 0]"
"[3, 75, 1048, 0]"
"[3, 100, 1018, 0]"
"[2, 97, 1027, 0]"
"[3, 88, 1039, 0]"
"[3, 90, 1048, 0]"
"[3, 100, 1042, 0]"
"[3, 100, 1033, 0]"
"[2, 73, 1018, 0]"
"[3, 100, 1027, 0]"
"[3, 82, 1039, 0]"
"[3, 100, 1033, 0]"
"[2, 100, 1042, 0]"
"[3, 87, 1042, 0]"
"[3, 78, 1021, 0]"
"[3, 100, 1042, 0]"
"[3, 94, 1048, 0]"
"[3, 80, 1042, 0]"
"[3, 78, 1024, 0]"
"[3, 99, 1021, 0]"
"[1, 99, 1048, 0]"
"[3, 90, 1048, 0]"
"[2, 99, 1036, 0]"
"[2, 95, 1030, 0]"
"[3, 100, 1042, 0]"
"[2, 100, 1042, 0]"
"[2, 100, 1033, 0]"
"[3, 100, 1042, 0]"
"[1, 100, 1021, 0]"
"[3, 100, 1030, 0]"
"[3, 87, 1018, 0]"
"[3, 83, 1030, 0]"
"[3, 100, 1036, 0]"
"[3, 87, 1042, 0]"
"[3, 70, 1006, 0]"
"[2, 79, 1018, 0]"
"[3, 86, 1027, 0]"
"[3, 100, 1033, 0]"
"[3, 97, 1039, 0]"
"[3, 89, 1024, 0]"
"[3, 74, 1009, 0]"
"[3, 86, 1033, 0]"
"[3, 100, 1054, 0]"
"[3, 100, 1054, 1]"
"[3, 83, 1027, 2]"
"[3, 88, 1042, 2]"
"[3, 95, 1048, 1]"
"[3, 100, 1042, 3]"
"[3, 93, 1018, 0]"
"[2, 94, 1006, 3]"
"[3, 100, 1054, 0]"
"[2, 87, 1042, 3]"
"[3, 83, 1030, 3]"
"[3, 100, 1006, 0]"
"[3, 92, 1015, 0]"
"[3, 78, 1030, 3]"
"[1, 82, 1048, 2]"
"[3, 81, 1054, 0]"
"[3, 83, 1024, 2]"
"[3, 96, 1042, 2]"
"[3, 83, 1048, 2]"
"[3, 72, 1009, 3]"
"[3, 100, 1054, 0]"
"[2, 100, 1048, 1]"
"[3, 78, 1036, 1]"
"[2, 70, 1045, 0]"
"[3, 83, 1009, 3]"
"[3, 90, 1042, 1]"
"[1, 100, 1054, 0]"
"[3, 100, 1048, 1]"
"[3, 86, 1054, 1]"
"[3, 86, 1036, 2]"
"[3, 72, 1054, 1]"
"[3, 85, 1042, 3]"
"[3, 85, 1054, 0]"
"[3, 90, 1054, 0]"
"[1, 88, 1033, 3]"
"[3, 98, 1021, 3]"
"[3, 73, 1027, 3]"
"[3, 100, 1054, 0]"
"[3, 80, 1054, 1]"
"[3, 100, 1042, 2]"
"[3, 62, 1018, 0]"
"[3, 100, 1048, 0]"
"[3, 85, 1015, 0]"
"[2, 75, 1015, 0]"
"[1, 100, 1054, 2]"
"[2, 91, 1015, 3]"
"[3, 77, 1006, 0]"
"[3, 71, 1033, 3]"
"[2, 78, 1033, 3]"
"[2, 100, 1021, 3]"
"[2, 92, 1009, 3]"
"[3, 78, 1042, 2]"
"[3, 70, 1036, 3]"
"[3, 76, 1018, 2]"
"[2, 96, 1042, 2]"
"[2, 77, 1015, 2]"
"[3, 78, 1030, 2]"
"[2, 100, 1054, 1]"
"[2, 98, 1030, 3]"
"[3, 88, 1036, 3]"
"[2, 89, 1042, 1]"
"[3, 87, 1036, 3]"
"[3, 100, 1054, 0]"
"[2, 82, 1024, 3]"
"[3, 83, 1006, 0]"
"[3, 100, 1054, 0]"
"[2, 96, 1054, 1]"
"[2, 80, 1030, 0]"
"[2, 97, 1036, 3]"
"[3, 90, 1018, 3]"
"[1, 68, 1009, 3]"
"[2, 91, 1039, 3]"
"[3, 95, 1054, 0]"
"[3, 93, 1015, 0]"
"[3, 92, 1042, 2]"
"[3, 84, 1030, 3]"
"[3, 70, 1015, 3]"
"[3, 100, 1024, 1]"
"[3, 82, 1054, 0]"
"[3, 100, 1027, 3]"
"[2, 100, 1009, 3]"
"[3, 81, 1030, 2]"
"[3, 69, 1009, 0]"
"[3, 77, 1015, 1]"
"[3, 100, 1042, 3]"
"[3, 80, 1009, 0]"
"[2, 96, 1027, 2]"
"[2, 60, 1030, 3]"
"[3, 100, 1054, 0]"
"[3, 100, 1021, 0]"
"[3, 70, 1009, 3]"
"[3, 81, 1036, 3]"
"[3, 68, 1006, 0]"
"[3, 94, 1030, 3]"
"[3, 100, 1054, 0]"
"[3, 100, 1012, 1]"
"[2, 90, 1009, 1]"
"[1, 85, 1036, 2]"
"[3, 100, 1042, 2]"
"[3, 69, 1042, 3]"
"[2, 80, 1033, 3]"
"[2, 75, 1021, 3]"
"[3, 75, 1048, 3]"
"[3, 75, 1015, 1]"
"[3, 78, 1009, 0]"
"[3, 81, 1042, 1]"
"[3, 100, 1054, 1]"
"[3, 95, 1042, 2]"
"[1, 71, 1030, 2]"
"[3, 95, 1054, 1]"
"[3, 88, 1018, 2]"
"[3, 70, 1024, 0]"
"[1, 71, 1009, 3]"
"[3, 96, 1030, 3]"
"[3, 88, 1042, 2]"
"[3, 90, 1009, 0]"
"[1, 84, 1015, 0]"
"[3, 91, 1030, 3]"
"[3, 90, 1006, 3]"
"[3, 75, 1015, 3]"
"[2, 89, 1015, 3]"
"[2, 85, 1018, 1]"
"[3, 95, 1054, 1]"
"[3, 83, 1048, 1]"
"[3, 87, 1009, 0]"
"[3, 89, 1048, 1]"
"[3, 87, 1015, 0]"
"[3, 85, 1054, 0]"
"[3, 70, 1030, 3]"
"[3, 84, 1021, 3]"
"[3, 88, 1006, 0]"
"[3, 80, 1030, 2]"
"[3, 80, 1015, 0]"
"[3, 87, 1033, 3]"
"[3, 92, 1048, 1]"
"[2, 92, 1048, 3]"
"[3, 77, 1015, 0]"
"[3, 84, 1024, 3]"
"[2, 94, 1015, 0]"
"[3, 74, 1036, 3]"
"[1, 75, 1006, 3]"
"[3, 72, 1009, 3]"
"[3, 87, 1036, 1]"
"[2, 80, 1015, 3]"
"[3, 83, 1015, 3]"
"[1, 61, 1030, 3]"
"[3, 64, 1009, 1]"
"[3, 76, 1009, 0]"
"[3, 86, 1042, 1]"
"[3, 100, 1048, 1]"
"[3, 100, 1054, 0]"
"[3, 97, 1042, 2]"
"[3, 100, 1054, 0]"
"[3, 86, 1042, 1]"
"[3, 100, 1054, 2]"
"[2, 81, 1009, 2]"
"[3, 90, 1036, 2]"
"[3, 87, 1036, 2]"
"[3, 63, 1015, 2]"
"[2, 90, 1054, 0]"
"[2, 95, 1036, 2]"
"[3, 95, 1048, 0]"
"[3, 65, 1021, 2]"
"[3, 100, 1048, 0]"
"[3, 85, 1048, 1]"
"[3, 96, 1054, 0]"
"[3, 97, 1042, 2]"
"[3, 100, 1042, 2]"
"[3, 68, 1021, 2]"
"[3, 90, 1042, 0]"
"[3, 85, 1024, 2]"
"[3, 93, 1006, 0]"
"[2, 66, 1015, 0]"
